,title,hits
29,IVE 아이브 'LOVE DIVE' MV,220906945
8,IVE 아이브 'After LIKE' MV,217249288
2,IVE 아이브 'I AM' MV,118431264
4,IVE 아이브 'Kitsch' MV,79650676
387,비공개 영상 속 아이브 인성;;,51777583
19,"LE SSERAFIM (르세라핌) ‘이브, 프시케 그리고 푸른 수염의 아내’ OFFICIAL M/V",30418976
363,IVE 아이브 'LOVE DIVE' DANCE PRACTICE,30096233
123,아이브 (IVE) _ LOVE DIVE | 러브 다이브 | 1theKILLPO | 원더킬포 | 킬포인트 | 킬링파트 | Performance | 유진 가을 레이 원영 리즈 이서,24983629
70,LOVE DIVE,20143131
42,[뮤뱅 원테이크 4K] 아이브(IVE) 'After LIKE' 4K Bonus Ver. @뮤직뱅크(Music Bank) 220826,17891753
24,[BE ORIGINAL] IVE(아이브) 'I AM' (4K),17328819
188,IVE 아이브 'ELEVEN' DANCE PRACTICE (Fix ver.),17118034
20,아이즈원 (IZ*ONE) - Panorama (4K) | IZ*ONE One-reeler Premiere,16068072
403,⚱️아이브 X 땡깡⚱️ (ELEVEN) #땡깡의커튼콜,15692229
9,IVE 아이브 'WAVE' MV,15283114
66,[단독샷캠4K] 아이브 'After LIKE' 단독샷 별도녹화│IVE ONE TAKE STAGE @SBS Inkigayo 220828,14445276
200,IVE 'ELEVEN' Lyrics (아이브 ELEVEN 가사) (Color Coded Lyrics),13795861
110,IVE 'LOVE DIVE' Lyrics (아이브 LOVE DIVE 가사) (Color Coded Lyrics),11177592
272,IVE 아이브 'After LIKE' DANCE PRACTICE,10790829
41,[안방1열 직캠4K] 아이브 'LOVE DIVE' 풀캠 (IVE Full Cam)│@SBS Inkigayo_2022.04.10.,10758894
285,[단독샷캠] 아이브 'ELEVEN' 단독샷 별도녹화│IVE ONE TAKE STAGE│@SBS Inkigayo_2021.12.05.,9954211
180,아이브 (IVE) _ ELEVEN | 일레븐 | 1theKILLPO | 원더킬포 | 킬포인트 | 킬링파트 | Performance | 4K | 유진 가을 레이 원영 리즈 이서,9945066
52,[전참시] ※최초 공개※ 아이브 (IVE)의 숙소 생활🏚 무대 밖에서는 영락없는 고딩💗ㅣ#아이브 #숙소 MBC220409방송,9668364
113,IVE(아이브) - LOVE DIVE 교차편집 4K (Stage Mix),9188729
88,IVE (아이브) 'ELEVEN' 교차편집 (Stage Mix) [4K],9037506
304,광동 옥수수수염차X아이브 – 건강한 일상엔 언제나 V가 함께 (30초),8903250
389,IVE(아이브 アイヴ) - ELEVEN(일레븐) (2021 KBS Song Festival) I KBS WORLD TV 211217,8775956
120,[단독샷캠4K] 아이브 'LOVE DIVE' 단독샷 별도녹화│IVE ONE TAKE STAGE│@SBS Inkigayo_2022.04.24.,8601255
423,지구용사 #이영지 의 #내춤춰챌린지💃🏼 #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 #뿅뿅지구오락실 #Shorts,8275475
356,Kitsch! 🕶 #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 #Shorts,7840852
164,장원영 : 따ㅎ (갑자기 음악이 멈추면) ♬ 아이브 - I AM,7537296
151,🏠 아이브 오신 날,7076084
320,아이브 안유진 무대 착장 BEST순위 #아이브 #안유진 #아이엠 #키치 고급진 안댕댕🐶,6894396
51,"[4K] 아이브 (IVE) -“I AM” Band LIVE Concert │넌 그냥 아이브 믿으면 돼, 보이는 그대로야💗 [it’s KPOP LIVE 잇츠라이브]",6837592
153,IVE(아이브) - ELEVEN @인기가요 inkigayo 20211212,6819327
121,IVE After LIKE Lyrics (아이브 After LIKE 가사) [Color Coded Lyrics/Han/Rom/Eng],6586602
21,NewJeans (뉴진스) 'ASAP' Teaser,6440824
545,"아이브 안유진 의 애교댄스 - 라이언 하트 / 드럼, 베이스 믹스 #shorts",6333935
18,IVE I AM Lyrics (아이브 아이엠 가사) (Color Coded Lyrics),6198277
187,아이브(IVE) - After LIKE 교차편집(stage mix),6019182
109,아이브 ‘I AM'을 거꾸로 치면 어떻게 될까?,5790519
283,자유로운 Kitsch! 💟 #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 #Shorts,5784917
396,장르로는 GALAXY💫#IAMchallenge #아이엠챌린지 #IAM #아이엠 #IVE #아이브 #GAEUL #가을 #JANGWONYOUNG #장원영 #Shorts,5690449
