,title,hits
86,독방에서 7일을 보냈어요,93820924
7,RIIZE 라이즈 'Love 119' MV,6981758
53,RIIZE 라이즈 'Love 119' MV,6981758
59,White (화이트 (White)),5973066
50,[ENG] 새해 인사는 핑계고,4418054
18,＜オープニング映像フル＞TVアニメ「ONE PIECE」／オープニングテーマ「あーーっす！」歌：きただにひろし,4261107
69,"[한글자막] 빠니보틀, 곽튜브에게 키스할 때 올바른 손의 위치를 묻다",2789618
44,빵빵이의 복권당첨 ~!,2718367
57,빵빵이의 복권당첨 ~!,2718367
8,[#라디오스타] 결벽증 교포들 브라이언 & 박준형 둘이서 20분 내내 영어로 극딜 넣으며 싸우다 가는 영상.mp4 | #브라이언 #박준형 MBC240103방송,2509913
51,[한글자막] 브라이언에게 먼지가 묻다,2477580
65,[내꺼내먹_EP.0] 갑자기 연돈 방문?! 제주까지 찾아간 이유는..?,2211397
17,[ 23시즌 ] 트로페 데 샹피옹 파리 생제르맹 VS 툴루즈 5분 하이라이트,2186571
0,"ITZY(있지) ""UNTOUCHABLE"" M/V @ITZY",2080246
73,"ITZY(있지) ""UNTOUCHABLE"" M/V @ITZY",2080246
71,[SUB] 토크쇼 오픈한다니까 한걸음에 달려와 준 내 스토커🧡 [혤's club] EP1 지수,2036072
30,[SUB] 토크쇼 오픈한다니까 한걸음에 달려와 준 내 스토커🧡 [혤's club] EP1 지수,2036072
28,"""일 커진다"" 두려운 미국…곳곳 심상치 않은 움직임 / SBS / 모아보는 뉴스",2028776
67,"“떨어지는 비에도 꽃은 피어나니까” 화사, 잔잔하지만 가슴을 울리는 축하무대 ＜LMM＞ #SBS연기대상 #SBSdrama",1878330
46,여행 유튜버나 할까?,1719621
97,여행 유튜버나 할까?,1719621
77,"황희찬 '네이마르 빙의 골', PL 9-10호골 폭발…허리 미세 통증 교체 #SPOTIME",1484903
70,캠지기 민경훈과 함께하는 한파 속 겨울 캠핑☃️,1349838
66,"한국어와 완전 비슷한 언어를 쓰는 고구려 후예를 찾았다..! - 중국, 세계여행 [130]",1331169
15,미스코리아 - 제니 [더 시즌즈-이효리의 레드카펫] | KBS 240105 방송,1325590
82,미스코리아 - 제니 [더 시즌즈-이효리의 레드카펫] | KBS 240105 방송,1325590
1,[제38회 골든디스크] BSS (부석순) - '파이팅 해야지 (with. 디노)' ♪｜JTBC 240106 방송,1323232
54,[제38회 골든디스크] BSS (부석순) - '파이팅 해야지 (with. 디노)' ♪｜JTBC 240106 방송,1323232
61,[SUB] 태어난 김에 연예대상 | EP.22 기안84 | 살롱드립2,1311466
87,[한글자막] 류준열에게 청룡영화제 이후 박진영 근황을 묻다,1257071
9,[한글자막] 류준열에게 청룡영화제 이후 박진영 근황을 묻다,1257071
60,[지식뉴스] “돈 쓸 사람이 없어요” 일본이 관광객 폭발적 증가에도 웃지 못하는 이유② (ft.이창민 한국외대 일본학과 교수) / 교양이를 부탁해 EP.13 / 비디오머그,1227544
55,[제38회 골든디스크] SEVENTEEN - '손오공 + Ima -Even if the world ends tommorrow- + 음악의 신' ♪｜JTBC 240106 방송,1203171
2,[제38회 골든디스크] SEVENTEEN - '손오공 + Ima -Even if the world ends tommorrow- + 음악의 신' ♪｜JTBC 240106 방송,1203171
62,[5화] 소년원에 있느라 지원하지 못 했던 마창진 통합 1번 창원ㅣZombie Trip 3: Road to ZOMBIE ROYAL,1162253
35,[5화] 소년원에 있느라 지원하지 못 했던 마창진 통합 1번 창원ㅣZombie Trip 3: Road to ZOMBIE ROYAL,1162253
58,최고민수 선생님과 함께한 지옥의 2박3일 여행 【쇼트트립】,1079673
56,모범생 메가스터디 손주은 회장 vs 떨거지(?) 이경규의 피 튀기는 과거 폭로 현장! l 예능대부 갓경규 EP.24,1056437
52,콩팥노리는왕년농사꾼들이랑와글,1048218
6,콩팥노리는왕년농사꾼들이랑와글,1048218
64,[꼬꼬무 109회 요약] 그곳은 병원이 아니라 '수술 공장'이었다 | 꼬리에 꼬리를 무는 그날 이야기 (SBS방송),941384
21,[꼬꼬무 109회 요약] 그곳은 병원이 아니라 '수술 공장'이었다 | 꼬리에 꼬리를 무는 그날 이야기 (SBS방송),941384
80,필리핀 숨겨진 섬에서 2023년 마무리 - 필리핀(끝),852776
63,[미공개] 시즌3 확정하고 먹는 고기가 제일 맛도리😋 (출연 : 행복한 몬스터즈) | ＜최강야구＞ 비하인드 cam 82,771047
79,RIIZE 라이즈 'Love 119' Performance Video,750785
16,RIIZE 라이즈 'Love 119' Performance Video,750785
32,[제38회 골든디스크] NewJeans (뉴진스) - 'Cool With You + Ditto' ♪｜JTBC 240106 방송,744174
90,2024년 친구의 버킷리스트를 극한의 컨텐츠로 바꿔버리는 뒤죽박죽 버킷리스트 특집 ㅋㅋ 실패시 전신삭발 ㅋㅋㅋㅋㅋ,686554
49,2024년 친구의 버킷리스트를 극한의 컨텐츠로 바꿔버리는 뒤죽박죽 버킷리스트 특집 ㅋㅋ 실패시 전신삭발 ㅋㅋㅋㅋㅋ,686554
33,(ENG) 딸기 케이크 하나에 10만원이라고? 경호야 빨리 차에 실어라ㅣ할명수 ep.164,658999
78,(ENG) 딸기 케이크 하나에 10만원이라고? 경호야 빨리 차에 실어라ㅣ할명수 ep.164,658999
91,저 진짜 감동 받았습니다 -마인크래프트 연말공모전,564493
83,한국에서 눈 내린 길 걷던 외국인들이 3초 만에 기절초풍한 이유 (한국겨울 첫 경험),508625
34,한국에서 눈 내린 길 걷던 외국인들이 3초 만에 기절초풍한 이유 (한국겨울 첫 경험),508625
12,김밥으로 난리난 미국에서 한국음식 팔자 초대박난 현재 근황 ㄷㄷ.. (미국 현지 반응),443388
85,김밥으로 난리난 미국에서 한국음식 팔자 초대박난 현재 근황 ㄷㄷ.. (미국 현지 반응),443388
11,"2024년 첫 라이브… (feat. 송지효, 유재석, 지석진)",437834
