,title,hits
24,(여자)아이들((G)I-DLE) - '퀸카 (Queencard)' Official Music Video,287511987
25,NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),204202348
22,BABYMONSTER - 'BATTER UP' M/V,170103660
21,NewJeans (뉴진스) 'Hype Boy' Official MV (Performance ver.1),152886955
13,NewJeans (뉴진스) 'Super Shy' Official MV,145295320
11,NewJeans (뉴진스) 'Ditto' Performance Video,117399890
131,NewJeans (뉴진스) 'Cookie' Official MV,81579013
38,GODS (ft. 뉴진스) (공식 뮤직 비디오) | 2023 월드 챔피언십 주제곡 - 리그 오브 레전드,57956209
19,NewJeans (뉴진스) 'ETA' Official MV,57450319
56,NewJeans (뉴진스) 'Attention' Official MV (Performance ver.),49991318
85,NewJeans (뉴진스) 'Ditto' Official MV (side A),40443231
660,Frank Medrano - TRAIN INSANE Calisthenics Workout!!!,34618352
12,NewJeans (뉴진스) 'ETA' Official MV (Performance ver.),33252222
98,NewJeans (뉴진스) 'Hurt' Official MV,32317874
26,[뮤뱅 원테이크 4K] 뉴진스(NewJeans) 'Attention' 4K Bonus Ver. @뮤직뱅크(Music Bank) 220805,31036217
60,NewJeans (뉴진스) 'Hype Boy' Official MV (Performance ver.2),25433481
119,뉴진스 (NewJeans) _ OMG | 1theKILLPO | 원더킬포 | 킬포인트 | 퍼포먼스 | Performance | 4K | 민지 하니 다니엘 해린 혜인,25009229
63,NewJeans (뉴진스) 'New Jeans' Official MV,24567373
229,뉴진스 ( Newjeans ) - Hype boy. cover #한림예고,24127638
128,NewJeans (뉴진스) 'Hype Boy' Official MV (MINJI ver.),22239974
205,NewJeans (뉴진스) 'ASAP' Official MV,20919476
156,NewJeans (뉴진스) 'Ditto' Official MV (side B),20502483
68,Hype 'V'oy with #BTS #V 🧸#NewJeans #뉴진스 #NewJeans_HypeBoy#Time_to_NewJeans,19374422
285,Oh my oh my God 예상했어 나🫢 #NewJeans #뉴진스#NewJeans_OMG #NewJeans_Ditto#Year_of_NewJeans,19373290
168,NewJeans (뉴진스) 'OMG' Dance Practice,19172797
222,NewJeans (뉴진스) 'Zero' Official MV,18961208
221,[릴레이댄스] NewJeans(뉴진스) - Hype Boy (4K),18536218
142,하입보이는 같이 춰야 제맛,17183960
433,뉴진스st 고양이 비니 만드는 방법,16722416
231,NewJeans (뉴진스) 'Ditto' 안무연습,16648930
81,[BE ORIGINAL] NewJeans(뉴진스) 'Attention' (4K),16227218
34,NewJeans 'Ditto' Lyrics (뉴진스 Ditto 가사) (Color Coded Lyrics),16215088
36,[단독샷캠4K] 뉴진스 'Ditto' 단독샷 별도녹화│NewJeans ONE TAKE STAGE @SBS Inkigayo 230115,15510195
39,NewJeans 'OMG' Lyrics (뉴진스 OMG 가사) (Color Coded Lyrics),15245686
296,NewJeans (뉴진스) 'Cool With You' Official MV (side A),15122130
224,NewJeans (뉴진스) 'Hype Boy' Special Performance Video,14441714
45,[4K] NewJeans(뉴진스) “Ditto” Band LIVE Concert Ditto HOLIDAY BAND LIVE🎄 [it’s KPOP LIVE 잇츠라이브],14150881
496,Ra-ta-ta-ta 울린 심장 ❤️‍🩹 #NewJeans #뉴진스#NewJeans_OMG #NewJeans_Ditto#NewJeans_of_Winter,13741634
133,NewJeans (뉴진스) 2022 MMA Dance Practice (Cookie+Hype Boy+Attention),12578491
171,NewJeans 'Super Shy' Lyrics (뉴진스 Super Shy 가사) (Color Coded Lyrics),12515501
107,NewJeans (뉴진스) 'Hype Boy' Dance Practice,11972861
88,"뉴진스, ‘Hype boy & Attention’ 축하공연 [제43회 청룡영화상 시상식] | KBS 221125 방송",11237846
208,자기 파트에 딴짓하는 뉴진스 하니 논란,11086741
351,뉴진스 해린님과 함께한 ANTIFRAGILE! 💪🐱 #LE_SSERAFIM #르세라핌 #홍은채 #NewJeans #뉴진스 #해린 #ANTIFRAGILE #shorts,10808665
417,OMG한 부석순 선배님과 함께😆#NewJeans #뉴진스#NewJeans_OMG #NewJeans_Ditto #부석순 #BSS #SEVENTEEN #HAERIN #HANNI,10567455
41,NewJeans(뉴진스) - Super Shy @인기가요 inkigayo 20230716,10545413
479,뉴진스 디토요 #NewJeans #뉴진스#NewJeans_OMG #NewJeans_Ditto#NewJeans_of_Winter,10274286
363,[뉴진스] 방심하고 있다가 빵터진 민지 ㅋㅋㅋㅋㅋ (업스케일링),10187268
627,뉴진스 방송사고인줄 ㅋㅋ,10170254
232,[4K] NewJeans(뉴진스) “Attention” Band LIVE Concert 뉴진스의 청량 하이틴 밴드라이브💫 [it’s KPOP LIVE 잇츠라이브],10164872
51,[4K] NewJeans (뉴진스) Hype Boy (하입보이) 교차편집 (Stage Mix),9947506
129,NewJeans (뉴진스) 'Hype Boy' Official MV (HANNI ver.),9830641
130,NewJeans Attention Lyrics (뉴진스 Attention 가사) (Color Coded Lyrics),9597895
263,NewJeans I LG gram : 그램Style 뉴진스 리미티드 에디션 출시 기념 '아름다워' Official M/V,9597275
161,[NewJeans - Hype Boy] Hot Debut Stage | #엠카운트다운 EP.764 | Mnet 220804 방송,9128257
149,"뉴진스(NewJeans), 상큼하고 발랄한 무대 ＜Tell Me(원더걸스)♬＞ #SBS가요대전 #SBSenter",9106627
50,NewJeans(뉴진스) - Ditto @인기가요 inkigayo 20230115,8856228
320,[뉴진스 해린] 갭차이 실화ㅋㅋㅋ,8838531
359,뉴진스 민지 영어 발음 폼 미쳤다 ㄷㄷ (난리난 미국반응),8765950
375,뉴진스 하니 착한 것 좀 봐,8724318
372,여자들이 뉴진스 머리를 꼭 따라해야 하는 이유,8639415
163,NewJeans (뉴진스) – Hype Boy Lyrics (Color Coded Han/Rom/Eng),8552444
